Contract,ContractType,LinesOfCode,NumFunctionCalls,NumLoops,NumIfs,NumUnsafeBlocks,NumAnchorMacros,NumPDAs,NumCPICalls,NumStateAccounts,NumTokenAccounts,ComplexityScore,SecurityScore,VulnerabilityType,Severity,ContractCode,VulnCategory,OWASP_Category,OWASP_ID,New_Severity,Impact,Likelihood,RiskScore,num_signer_checks,num_owner_checks,num_pda_checks,num_bump_validations,num_account_checks,num_cpi_calls,num_program_checks,num_require_asserts,num_anchor_constraints,num_error_handlers,num_custom_errors,num_unsafe_blocks,num_mut_refs,num_raw_pointers,num_transfers,num_token_ops,has_proper_validation,has_proper_error_handling,is_high_risk,is_unsafe,ProcessedTimestamp,DatasetVersion
S07_RoundingBug4,Raw,135,10,0,3,0,0,0,0,0,0,0,0,Loss of Precision,Medium,,Loss of Precision,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S07_RoundingBug5,Raw,138,11,0,4,0,0,0,0,0,0,0,0,Loss of Precision,Medium,,Loss of Precision,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S08_RaceCond1,Anchor,152,13,2,6,0,7,0,0,0,0,0,0,Concurrent State Manipulation,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S08_RaceCond2,Anchor,154,14,1,7,0,8,0,0,0,0,0,0,Concurrent State Manipulation,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S08_RaceCond3,Anchor,156,15,2,8,0,9,0,0,0,0,0,0,Concurrent State Manipulation,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S08_RaceCond4,Anchor,150,13,1,5,0,6,0,0,0,0,0,0,Concurrent State Manipulation,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S08_RaceCond5,Anchor,155,13,1,6,0,7,0,0,0,0,0,0,Concurrent State Manipulation,Medium,,Race Condition,Concurrency,SC09,High,7.5,5.0,3.8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S09_SigBypass1,Anchor,131,11,0,4,0,6,0,0,0,0,0,0,Lack of Signature Validation,Medium,,Lack of Signature Validation,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S09_SigBypass2,Raw,125,10,0,2,0,0,0,0,0,0,0,0,Lack of Signature Validation,Medium,,Lack of Signature Validation,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S09_SigBypass3,Anchor,133,13,0,6,0,8,0,0,0,0,0,0,Lack of Signature Validation,Medium,,Lack of Signature Validation,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S09_SigBypass4,Anchor,145,12,0,4,0,6,0,0,0,0,0,0,Lack of Signature Validation,Medium,,Lack of Signature Validation,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S09_SigBypass5,Anchor,135,15,0,8,0,10,0,0,0,0,0,0,Lack of Signature Validation,Medium,,Lack of Signature Validation,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S10_LamportLeak1,Anchor,141,11,0,3,0,6,0,0,0,0,0,0,Missing Check for Lamports,Medium,,Resource Management,Resource Safety,SC07,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S10_LamportLeak2,Anchor,142,12,0,4,0,7,0,0,0,0,0,0,Missing Check for Lamports,Medium,,Resource Management,Resource Safety,SC07,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S10_LamportLeak3,Anchor,140,10,0,2,0,5,0,0,0,0,0,0,Missing Check for Lamports,Medium,,Resource Management,Resource Safety,SC07,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S10_LamportLeak4,Anchor,135,9,0,2,0,4,0,0,0,0,0,0,Missing Check for Lamports,Medium,,Resource Management,Resource Safety,SC07,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
S10_LamportLeak5,Anchor,145,15,0,7,0,10,0,0,0,0,0,0,Missing Check for Lamports,Medium,,Resource Management,Resource Safety,SC07,Medium,6.5,5.0,3.2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeAnchor1,Anchor,200,15,1,5,0,6,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeAnchor2,Anchor,180,14,1,6,0,5,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeAnchor3,Anchor,220,16,1,7,0,7,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeAnchorContract1,Anchor,200,15,1,5,0,6,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeAnchorContract2,Anchor,210,14,1,6,0,5,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeAnchorContract3,Anchor,190,13,0,4,0,7,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRaw1,Raw,150,10,0,4,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRaw2,Raw,160,12,0,3,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRaw3,Raw,170,13,0,5,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRaw4,Raw,155,11,0,4,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRaw5,Raw,165,12,0,6,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRawContract1,Raw,150,10,0,4,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRawContract2,Raw,160,12,0,3,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRawContract3,Raw,155,11,0,5,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
SafeRawContract4,Raw,170,13,0,6,0,0,0,0,0,0,0,0,Safe,Medium,,No Vulnerability,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedAccountAnchor1,Anchor,145,13,0,3,0,6,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedAccountAnchor2,Anchor,150,14,0,2,0,7,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor1,Anchor,120,10,0,2,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor2,Anchor,125,11,0,3,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor3,Anchor,130,12,0,4,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor4,Anchor,135,13,0,5,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor5,Anchor,140,14,0,6,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor6,Anchor,145,15,0,7,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor7,Anchor,150,16,0,8,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor8,Anchor,155,17,0,9,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIAnchor9,Anchor,160,18,0,10,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIRaw1,Raw,105,10,0,2,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UncheckedCPIRaw2,Raw,95,9,0,1,0,0,0,0,0,0,0,0,Access Control,Medium,,Access Control,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
UnsafeAnchor1,Anchor,125,9,0,2,1,4,0,0,0,0,0,0,Memory Safety,Medium,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
UnsafeAnchor2,Anchor,130,10,1,4,2,3,0,0,0,0,0,0,Memory Safety,Medium,,Memory Safety,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,False,False,False,True,2025-03-24 03:50:45.778556,2.0.0
ValidationIssue1,Anchor,130,10,0,2,0,8,0,0,0,0,0,0,Validation Issues,Medium,,Validation Issues,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ValidationIssue2,Anchor,70,4,0,1,0,5,0,0,0,0,0,0,Validation Issues,Medium,,Validation Issues,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ValidationIssue3,Anchor,85,6,0,2,0,7,0,0,0,0,0,0,Validation Issues,Medium,,Validation Issues,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ValidationIssue4,Anchor,95,7,0,1,0,6,0,0,0,0,0,0,Validation Issues,Medium,,Validation Issues,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ValidationIssue5,Anchor,105,8,0,3,0,9,0,0,0,0,0,0,Validation Issues,Medium,,Validation Issues,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
ValidationIssue6,Anchor,115,9,0,3,0,7,0,0,0,0,0,0,Validation Issues,Medium,,Validation Issues,Secure,None,None,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,False,False,False,False,2025-03-24 03:50:45.778556,2.0.0
